code,date,raw_open,raw_high,raw_low,raw_close,raw_pre_close,adj_open,adj_high,adj_low,adj_close,adj_pre_close,hfq_open,hfq_high,hfq_low,hfq_close,hfq_pre_close,volume,amount,raw_unique_ohlc_count,qfq_unique_ohlc_count,hfq_unique_ohlc_count,affine_scale,affine_offset,affine_max_abs_residual,affine_max_tick_residual,open_ratio,high_ratio,low_ratio,close_ratio,ratio_min,ratio_max,ratio_spread,ratio_relative_spread,previous_day_mapping_scale,previous_day_mapping_offset,next_day_mapping_scale,next_day_mapping_offset,mapping_failure_reason,rounding_interval_affine_feasible,rounding_affine_scale_min,rounding_affine_scale_max,rounding_affine_offset_min,rounding_affine_offset_max,rounding_interval_ratio_feasible,rounding_ratio_min,rounding_ratio_max,neighbor_mapping_stable,neighbor_mapping_changed
920245.BJ,2023-01-11,10.87,10.88,10.87,10.88,10.95,7.34,7.34,7.34,7.34,7.39,10.97,10.98,10.97,10.98,11.05,10500,114235.0,2,1,2,,,0.0,0.0,0.6752529898804048,0.6746323529411764,0.6752529898804048,0.6746323529411764,0.6746323529411764,0.6752529898804048,0.000620636939228425,0.000620636939228425,0.7092198581560312,-0.3758156028369086,0.6666666666666272,0.086666666667095,DEGENERATE_QFQ_OHLC_RATIO_INTERVAL_FEASIBLE,False,,,,,True,0.6744827586206896,0.6754022988505747,False,True
920395.BJ,2023-01-12,14.0,14.01,14.0,14.0,14.0,3.16,3.16,3.16,3.16,3.16,14.7,14.71,14.7,14.7,14.7,2700,37802.0,2,1,2,,,0.0,0.0,0.22571428571428573,0.225553176302641,0.22571428571428573,0.22571428571428573,0.225553176302641,0.22571428571428573,0.0001611094116447387,0.0001611094116447387,0.3333333333333334,-1.5066666666666682,0.22033898305084748,0.07610169491525376,DEGENERATE_QFQ_OHLC_RATIO_INTERVAL_FEASIBLE,False,,,,,True,0.2252766868975366,0.22599071760085684,False,True
920509.BJ,2022-11-10,13.6,13.61,13.6,13.61,13.61,8.07,8.07,8.07,8.07,8.07,14.08,14.09,14.08,14.09,14.09,29416,400101.59,2,1,2,,,0.0,0.0,0.5933823529411765,0.5929463629684056,0.5933823529411765,0.5929463629684056,0.5929463629684056,0.5933823529411765,0.00043598997277083384,0.00043598997277083384,0.6657912015758282,-0.9880039395927867,0.6378600823045316,-0.610370370370438,DEGENERATE_QFQ_OHLC_RATIO_INTERVAL_FEASIBLE,False,,,,,True,0.5927967658948915,0.5935317897831681,False,True
600010.SH,2001-03-20,6.6,6.62,6.57,6.59,6.6,0.73,0.73,0.73,0.73,0.73,6.6,6.62,6.57,6.59,6.6,7529000,49570756.0,4,1,4,,,0.0,0.0,0.11060606060606061,0.11027190332326284,0.1111111111111111,0.11077389984825493,0.11027190332326284,0.1111111111111111,0.0008392077878482673,0.0008392077878482673,0.09798270893371767,0.08149855907780912,,,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.25,-0.09687500000000004,-0.09187500000000004,True,0.11026615969581749,0.1111111111111111,False,False
600010.SH,2001-03-21,6.6,6.61,6.56,6.59,6.59,0.73,0.73,0.73,0.73,0.73,6.6,6.61,6.56,6.59,6.59,7896100,51959800.0,4,1,4,,,0.0,0.0,0.11060606060606061,0.11043872919818457,0.11128048780487805,0.11077389984825493,0.11043872919818457,0.11128048780487805,0.0008417586066934851,0.0008417586066934851,,,0.14285714285714238,-0.21285714285713964,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.24999999999999445,-0.09562499999998175,-0.09062499999998175,True,0.11043412033511044,0.11127933383800151,False,False
600010.SH,2001-03-27,6.67,6.68,6.64,6.66,6.66,0.74,0.74,0.74,0.74,0.74,6.67,6.68,6.64,6.66,6.66,8546100,56879740.0,4,1,4,,,0.0,0.0,0.11094452773613193,0.11077844311377245,0.11144578313253012,0.1111111111111111,0.11077844311377245,0.11144578313253012,0.0006673400187576645,0.0006673400187576645,0.10242587601078147,0.05719676549865371,,,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.3333333333333309,-0.3724999999999917,-0.36749999999999183,True,0.11060948081264109,0.11161048689138577,False,False
600010.SH,2001-03-28,6.66,6.67,6.63,6.63,6.66,0.74,0.74,0.74,0.74,0.74,6.66,6.67,6.63,6.63,6.66,6719700,44632208.0,3,1,3,,,0.0,0.0,0.1111111111111111,0.11094452773613193,0.11161387631975868,0.11161387631975868,0.11094452773613193,0.11161387631975868,0.0006693485836267443,0.0006693485836267443,,,0.21428571428571402,-0.6835714285714268,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.3333333333333309,-0.37083333333332524,-0.36583333333332513,True,0.11077618688771665,0.11177794448612154,False,False
600010.SH,2001-04-24,6.66,6.68,6.64,6.67,6.66,0.74,0.74,0.74,0.74,0.74,6.66,6.68,6.64,6.67,6.66,3287100,21898010.0,4,1,4,,,0.0,0.0,0.1111111111111111,0.11077844311377245,0.11144578313253012,0.11094452773613193,0.11077844311377245,0.11144578313253012,0.0006673400187576645,0.0006673400187576645,0.1320754716981124,-0.1379245283018814,0.15948963317384388,-0.32382775119617335,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.3333333333333309,-0.3724999999999917,-0.36749999999999183,True,0.11060948081264109,0.11161048689138577,False,True
600010.SH,2001-07-10,7.0,7.04,6.99,7.0,7.0,0.81,0.81,0.81,0.81,0.81,7.1,7.14,7.09,7.1,7.1,2222300,15554322.0,3,1,3,,,0.0,0.0,0.11571428571428573,0.11505681818181819,0.11587982832618027,0.11571428571428573,0.11505681818181819,0.11587982832618027,0.0008230101443620769,0.0008230101443620769,0.18003273322422214,-0.45207855973813105,0.12962962962962984,-0.09981481481481647,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.25,-0.06937499999999996,-0.06437499999999996,True,0.11508220157255183,0.1158493248045487,False,True
600010.SH,2001-09-03,6.0,6.0,5.94,5.97,6.01,0.65,0.65,0.65,0.65,0.66,6.1,6.1,6.04,6.07,6.11,547200,3262294.0,3,1,3,,,0.0,0.0,0.10833333333333334,0.10833333333333334,0.10942760942760943,0.10887772194304858,0.10833333333333334,0.10942760942760943,0.001094276094276092,0.001094276094276092,0.2192982456140357,-0.6578070175438631,0.14774281805745593,-0.2316552667578684,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.2000000000000009,0.050499999999997325,0.05549999999999733,True,0.10849453322119428,0.10925771476230192,False,True
600010.SH,2002-06-19,5.09,5.09,5.03,5.06,5.09,0.51,0.51,0.51,0.51,0.51,5.19,5.19,5.13,5.16,5.19,672400,3404464.0,3,1,3,,,0.0,0.0,0.10019646365422398,0.10019646365422398,0.10139165009940357,0.10079051383399211,0.10019646365422398,0.10139165009940357,0.0011951864451795885,0.0011951864451795885,0.08771929824561465,0.06842105263157577,0.16000000000000136,-0.2808000000000068,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.2000000000000009,0.0014999999999977254,0.00649999999999773,True,0.10029791459781529,0.10127826941986234,False,True
600010.SH,2002-07-31,5.49,5.5,5.45,5.48,5.49,0.59,0.59,0.59,0.59,0.59,5.69,5.7,5.65,5.68,5.69,768776,4204364.0,4,1,4,,,0.0,0.0,0.10746812386156647,0.10727272727272727,0.10825688073394495,0.10766423357664232,0.10727272727272727,0.10825688073394495,0.0009841534612176767,0.0009841534612176767,0.09565217391304386,0.06713043478260661,0.11594202898550762,-0.047463768115944105,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.25,-0.09687500000000004,-0.09187500000000004,True,0.1072410632447296,0.10828025477707005,False,True
600010.SH,2002-08-21,5.5,5.51,5.45,5.46,5.5,0.59,0.59,0.59,0.59,0.59,5.7,5.71,5.65,5.66,5.7,913215,5000762.0,4,1,4,,,0.0,0.0,0.10727272727272727,0.10707803992740472,0.10825688073394495,0.10805860805860805,0.10707803992740472,0.10825688073394495,0.001178840806540224,0.001178840806540224,0.0866290018832391,0.11308851224105498,,,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.2000000000000009,0.03949999999999754,0.04449999999999754,True,0.1072410632447296,0.1080835603996367,False,False
600010.SH,2002-08-22,5.48,5.51,5.45,5.49,5.46,0.59,0.59,0.59,0.59,0.59,5.68,5.71,5.65,5.69,5.66,1240306,6787207.0,4,1,4,,,0.0,0.0,0.10766423357664232,0.10707803992740472,0.10825688073394495,0.10746812386156647,0.10707803992740472,0.10825688073394495,0.001178840806540224,0.001178840806540224,,,0.1862527716186255,-0.4320620842572075,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.2000000000000009,0.03949999999999754,0.04449999999999754,True,0.1072410632447296,0.1080835603996367,False,False
600010.SH,2002-09-10,5.2,5.25,5.19,5.22,5.19,0.55,0.55,0.55,0.55,0.55,5.4,5.45,5.39,5.42,5.39,515500,2690298.0,4,1,4,,,0.0,0.0,0.10576923076923077,0.10476190476190476,0.10597302504816956,0.10536398467432952,0.10476190476190476,0.10597302504816956,0.0012111202862647996,0.0012111202862647996,0.36842105263157704,-1.3636842105263058,0.12790697674418616,-0.11569767441860523,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.2000000000000009,0.025499999999997636,0.03049999999999764,True,0.10490856592877768,0.10581506196377503,False,True
600010.SH,2002-11-06,5.17,5.17,5.13,5.15,5.13,0.54,0.54,0.54,0.54,0.54,5.37,5.37,5.33,5.35,5.33,692609,3566746.0,3,1,3,,,0.0,0.0,0.1044487427466151,0.1044487427466151,0.10526315789473685,0.10485436893203884,0.1044487427466151,0.10526315789473685,0.0008144151481217499,0.0008144151481217499,0.15203426124196967,-0.2405353319057797,0.21951219512195183,-0.5937804878048814,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.3333333333333309,-0.320833333333327,-0.31583333333332697,True,0.10418695228821812,0.10551790900290417,False,True
600010.SH,2003-06-23,5.0,5.02,4.98,4.98,5.0,0.54,0.54,0.54,0.54,0.54,5.35,5.37,5.33,5.33,5.35,1156900,5778372.0,3,1,3,,,0.0,0.0,0.10800000000000001,0.10756972111553786,0.10843373493975904,0.10843373493975904,0.10756972111553786,0.10843373493975904,0.0008640138242211742,0.0008640138242211742,0.12258064516129018,-0.07316129032258001,0.12149532710280411,-0.06906542056074949,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.33333333333334075,-0.2958333333333518,-0.2908333333333518,True,0.10732196589769308,0.1086739780658026,False,True
600010.SH,2003-08-12,4.79,4.84,4.79,4.8,4.79,0.51,0.51,0.51,0.51,0.51,5.14,5.19,5.14,5.15,5.14,780950,3754649.0,3,1,3,,,0.0,0.0,0.10647181628392484,0.10537190082644629,0.10647181628392484,0.10625000000000001,0.10537190082644629,0.10647181628392484,0.001099915457478548,0.001099915457478548,0.1807228915662665,-0.3577108433735008,0.2000000000000009,-0.4500000000000043,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.25,-0.09437499999999999,-0.08937499999999998,True,0.10531803962460896,0.10651499482936919,False,True
600010.SH,2003-08-27,4.58,4.58,4.53,4.54,4.55,0.47,0.47,0.47,0.47,0.47,4.93,4.93,4.88,4.89,4.9,496666,2261394.0,3,1,3,,,0.0,0.0,0.10262008733624453,0.10262008733624453,0.10375275938189844,0.10352422907488987,0.10262008733624453,0.10375275938189844,0.0011326720456539124,0.0011326720456539124,0.1538461538461556,-0.22903846153846968,0.10526315789473628,-0.010526315789471163,DEGENERATE_QFQ_OHLC_AFFINE_AND_RATIO_INTERVAL_FEASIBLE,True,5e-324,0.25,-0.10187500000000005,-0.09687500000000004,True,0.10253583241455347,0.10382513661202185,False,True
